#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18754
#Date Time: 2019-04-23 16:58:36.115
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Wavegen 1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: -2.5 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 500 Hz
#Amplitude: 1 V
#Offset: 3 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.0040075,1.9708
-0.00400625,1.9708
-0.004005,1.9708
-0.00400375,1.9708
-0.0040025,1.9708
-0.00400125,1.98156
-0.004,2.00409
-0.00399875,2.00779
-0.0039975,2.01283
-0.00399625,2.01754
-0.003995,2.02258
-0.00399375,2.0283
-0.0039925,2.03402
-0.00399125,2.03906
-0.00399,2.04545
-0.00398875,2.05116
-0.0039875,2.05755
-0.00398625,2.06394
-0.003985,2.07067
-0.00398375,2.07672
-0.0039825,2.08412
-0.00398125,2.0905
-0.00398,2.09656
-0.00397875,2.10395
-0.0039775,2.11135
-0.00397625,2.11774
-0.003975,2.12514
-0.00397375,2.13186
-0.0039725,2.13892
-0.00397125,2.14565
-0.00397,2.15271
-0.00396875,2.16011
-0.0039675,2.16683
-0.00396625,2.17423
-0.003965,2.18163
-0.00396375,2.18835
-0.0039625,2.19575
-0.00396125,2.20315
-0.00396,2.21054
-0.00395875,2.21794
-0.0039575,2.225
-0.00395625,2.23206
-0.003955,2.2398
-0.00395375,2.2472
-0.0039525,2.25325
-0.00395125,2.26132
-0.00395,2.26872
-0.00394875,2.27544
-0.0039475,2.28284
-0.00394625,2.29057
-0.003945,2.29763
-0.00394375,2.30469
-0.0039425,2.31209
-0.00394125,2.31915
-0.00394,2.32655
-0.00393875,2.33428
-0.0039375,2.34168
-0.00393625,2.34841
-0.003935,2.35513
-0.00393375,2.36253
-0.0039325,2.37026
-0.00393125,2.37732
-0.00393,2.38438
-0.00392875,2.39212
-0.0039275,2.39918
-0.00392625,2.4059
-0.003925,2.41364
-0.00392375,2.4207
-0.0039225,2.4281
-0.00392125,2.43516
-0.00392,2.44222
-0.00391875,2.44928
-0.0039175,2.45634
-0.00391625,2.4634
-0.003915,2.47046
-0.00391375,2.47786
-0.0039125,2.48526
-0.00391125,2.49198
-0.00391,2.49938
-0.00390875,2.5061
-0.0039075,2.51317
-0.00390625,2.52056
-0.003905,2.52729
-0.00390375,2.53435
-0.0039025,2.54141
-0.00390125,2.54814
-0.0039,2.5552
-0.00389875,2.56226
-0.0038975,2.56932
-0.00389625,2.57672
-0.003895,2.5831
-0.00389375,2.5905
-0.0038925,2.59723
-0.00389125,2.60429
-0.00389,2.61135
-0.00388875,2.61807
-0.0038875,2.6248
-0.00388625,2.6322
-0.003885,2.63892
-0.00388375,2.64565
-0.0038825,2.65271
-0.00388125,2.65977
-0.00388,2.66616
-0.00387875,2.67288
-0.0038775,2.67994
-0.00387625,2.68667
-0.003875,2.69373
-0.00387375,2.70045
-0.0038725,2.70684
-0.00387125,2.71357
-0.00387,2.72063
-0.00386875,2.72702
-0.0038675,2.73408
-0.00386625,2.7408
-0.003865,2.74719
-0.00386375,2.75358
-0.0038625,2.76064
-0.00386125,2.76737
-0.00386,2.77409
-0.00385875,2.78014
-0.0038575,2.78687
-0.00385625,2.79359
-0.003855,2.80066
-0.00385375,2.80738
-0.0038525,2.81377
-0.00385125,2.82016
-0.00385,2.82688
-0.00384875,2.83361
-0.0038475,2.83966
-0.00384625,2.84639
-0.003845,2.85277
-0.00384375,2.8595
-0.0038425,2.86555
-0.00384125,2.87261
-0.00384,2.87934
-0.00383875,2.88539
-0.0038375,2.89245
-0.00383625,2.8985
-0.003835,2.90523
-0.00383375,2.91162
-0.0038325,2.91733
-0.00383125,2.92473
-0.00383,2.93112
-0.00382875,2.93717
-0.0038275,2.9439
-0.00382625,2.95029
-0.003825,2.95667
-0.00382375,2.96306
-0.0038225,2.96878
-0.00382125,2.97517
-0.00382,2.98156
-0.00381875,2.98761
-0.0038175,2.99433
-0.00381625,3.00106
-0.003815,3.00745
-0.00381375,3.01316
-0.0038125,3.01922
-0.00381125,3.02527
-0.00381,3.03166
-0.00380875,3.03771
-0.0038075,3.04443
-0.00380625,3.05049
-0.003805,3.05688
-0.00380375,3.06259
-0.0038025,3.06932
-0.00380125,3.07503
-0.0038,3.08142
-0.00379875,3.08747
-0.0037975,3.09353
-0.00379625,3.09991
