#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18754
#Date Time: 2019-04-23 16:56:17.970
#Sample rate: 7.69231e+06Hz
#Samples: 8192
#Trigger: Source: Wavegen 1 Condition: Rising
#Channel 1: Range: 100 mV/div Offset: -3 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 5 kHz
#Amplitude: 50 mV
#Offset: 3 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.00041418,2.91312
-0.00041405,2.91312
-0.00041392,2.91312
-0.00041379,2.91279
-0.00041366,2.91279
-0.00041353,2.91312
-0.0004134,2.91279
-0.00041327,2.91279
-0.00041314,2.91346
-0.00041301,2.91279
-0.00041288,2.91279
-0.00041275,2.91312
-0.00041262,2.91312
-0.00041249,2.9138
-0.00041236,2.91346
-0.00041223,2.91312
-0.0004121,2.91312
-0.00041197,2.91312
-0.00041184,2.91312
-0.00041171,2.91312
-0.00041158,2.91312
-0.00041145,2.91346
-0.00041132,2.91312
-0.00041119,2.91346
-0.00041106,2.91245
-0.00041093,2.91279
-0.0004108,2.91346
-0.00041067,2.91312
-0.00041054,2.91312
-0.00041041,2.91346
-0.00041028,2.91279
-0.00041015,2.91312
-0.00041002,2.91312
-0.00040989,2.91279
-0.00040976,2.91312
-0.00040963,2.91279
-0.0004095,2.91346
-0.00040937,2.91279
-0.00040924,2.91279
-0.00040911,2.91312
-0.00040898,2.91346
-0.00040885,2.91312
-0.00040872,2.9138
-0.00040859,2.91346
-0.00040846,2.91346
-0.00040833,2.91312
-0.0004082,2.91346
-0.00040807,2.91312
-0.00040794,2.91312
-0.00040781,2.91279
-0.00040768,2.91346
-0.00040755,2.91312
-0.00040742,2.91346
-0.00040729,2.91346
-0.00040716,2.91279
-0.00040703,2.91346
-0.0004069,2.91346
-0.00040677,2.91279
-0.00040664,2.91312
-0.00040651,2.9138
-0.00040638,2.91312
-0.00040625,2.91312
-0.00040612,2.91279
-0.00040599,2.91312
-0.00040586,2.91279
-0.00040573,2.91279
-0.0004056,2.91279
-0.00040547,2.91279
-0.00040534,2.91312
-0.00040521,2.91245
-0.00040508,2.91279
-0.00040495,2.91245
-0.00040482,2.91312
-0.00040469,2.91279
-0.00040456,2.91279
-0.00040443,2.91279
-0.0004043,2.91312
-0.00040417,2.91279
-0.00040404,2.91312
-0.00040391,2.91279
-0.00040378,2.91346
-0.00040365,2.91312
-0.00040352,2.91312
-0.00040339,2.91346
-0.00040326,2.91312
-0.00040313,2.91312
-0.000403,2.91279
-0.00040287,2.91279
-0.00040274,2.91279
-0.00040261,2.91346
-0.00040248,2.91346
-0.00040235,2.91312
-0.00040222,2.91312
-0.00040209,2.91312
-0.00040196,2.91312
-0.00040183,2.91312
-0.0004017,2.91312
-0.00040157,2.91279
-0.00040144,2.91279
-0.00040131,2.91312
-0.00040118,2.91312
-0.00040105,2.91346
-0.00040092,2.91312
-0.00040079,2.9138
-0.00040066,2.91279
-0.00040053,2.91346
-0.0004004,2.91346
-0.00040027,2.91312
-0.00040014,2.91312
-0.00040001,2.91346
-0.00039988,2.91312
-0.00039975,2.9138
-0.00039962,2.91346
-0.00039949,2.91447
-0.00039936,2.9148
-0.00039923,2.9148
-0.0003991,2.91514
-0.00039897,2.91548
-0.00039884,2.91548
-0.00039871,2.91548
-0.00039858,2.91581
-0.00039845,2.91548
-0.00039832,2.91581
-0.00039819,2.91581
-0.00039806,2.91581
-0.00039793,2.91615
-0.0003978,2.91615
